code,name,market,close,pct,volume,amount,market_cap,r1w,r1m,r3m,r6m,sector_derived,industry_source,level1_score
222800,심텍,KOSDAQ GLOBAL,149500,0.95,584741,86694553100,5753436637000,14.3841,42.1103,27.0178,163.2042,Technology,전자부품 제조업,0.936787
000500,가온전선,KOSPI,318500,-0.93,154317,48994969750,9484167829500,27.6553,102.2222,2.2472,178.4091,Other,절연선 및 케이블 제조업,0.934960
036540,SFA반도체,KOSDAQ,10570,-0.47,6183347,64581612360,1738345402710,18.4978,96.1039,71.8699,54.9853,Technology,반도체 제조업,0.928749
010170,대한광통신,KOSDAQ,17700,-0.62,8890968,158123523360,2752096182000,9.9379,34.6008,23.1733,114.5455,Other,절연선 및 케이블 제조업,0.910081
098120,마이크로컨텍솔,KOSDAQ,58000,1.93,260298,15588447250,482140428000,16.0000,49.2921,136.7347,122.2222,Technology,전자부품 제조업,0.907896
009150,삼성전기,KOSPI,1507000,1.41,496091,743457672000,112563399872000,9.1238,14.3399,-23.2688,244.8513,Technology,전자부품 제조업,0.884458
001820,삼화콘덴서,KOSPI,146900,-0.34,618327,92014605700,1527025500000,2.0848,58.9827,8.0147,170.0368,Technology,전자부품 제조업,0.883218
067310,하나마이크론,KOSDAQ,46200,1.2,1706121,78283234600,3071878147800,32.1888,33.9130,-4.2487,41.5008,Technology,반도체 제조업,0.882900
064290,인텍플러스,KOSDAQ,54800,-1.44,267896,14628092200,710075274400,8.0868,67.5841,33.8217,226.7740,Industrials,특수 목적용 기계 제조업,0.875678
010950,S-Oil,KOSPI,155600,0.84,376025,58872144050,17517882435200,7.9806,10.1983,45.0140,43.5424,Energy,석유 정제품 제조업,0.872798
000990,DB하이텍,KOSPI,132000,0.99,413298,54022998350,5742605616000,5.6000,51.5499,-13.3858,58.2734,Technology,반도체 제조업,0.866737
003490,대한항공,KOSPI,31500,0.32,4154511,130982068100,11598949183500,8.4337,21.1538,15.1737,26.7606,Industrials,항공 여객 운송업,0.864560
